codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,209715200,45085215,0.214983057975769,39.75,1772,3.19,1536,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,1,5.031446541,13.47856163,3,4,2
bzip2,209715200,41585791,0.198296504020691,22.22,10004,9.14,6936,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,1,9.00090009,4.339091992,2,3,5
xz,209715200,37221880,0.177487754821777,223.94,691428,5.57,67828,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,1,0.893096365,6.372989401,1,5,4
rANS-0,209715200,95138513,0.453655781745911,4.35,4460,4.43,4776,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,1,45.97701149,20.48107367,6,1,1
rANS-1,209715200,64272089,0.306473202705383,5.15,4348,6.05,5712,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,1,38.83495146,10.13134554,5,2,3
GABAC,209715200,47478327,0.226394305229187,382.51,2057968,12.97,2517268,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,1,0.522862147,3.49104557,4,6,7
gzip,5382090,354135,0.065798788203096,2.99,1748,0.07,1620,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,DS_MF,1,1.716642475,4.824706486,4,6,2
bzip2,5382090,318181,0.059118483711718,0.18,9076,0.13,6144,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,DS_MF,1,28.5153389,2.334161905,2,3,3
xz,5382090,333268,0.061921669834581,2.84,118460,0.18,7556,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,DS_MF,1,1.807310212,1.7657174,3,5,5
rANS-0,5382090,782245,0.145342236937695,0.14,3620,0.13,4000,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,DS_MF,1,36.66257858,5.73851512,6,2,1
rANS-1,5382090,398737,0.074085903431567,0.13,3044,0.19,4896,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,DS_MF,1,39.48277694,2.001395978,5,1,4
GABAC,5382090,294934,0.054799157947935,0.32,121264,0.37,114908,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,DS_MF,1,16.03987813,0.76019184,1,4,7
gzip,94759522,35286214,0.37237644571487,50.81,1668,1.7,1680,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,DS_XSC,1,1.778581428,19.79503295,5,5,2
bzip2,94759522,30615717,0.323088554625677,7.63,9836,5.2,7048,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,DS_XSC,1,11.84400031,5.614889035,3,3,5
xz,94759522,29659240,0.312994824942236,126.61,685064,4.2,67792,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,DS_XSC,1,0.713764492,6.734584627,2,6,4
rANS-0,94759522,53981986,0.56967347302575,2.2,4740,2.12,4968,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,DS_XSC,1,41.07714653,24.28360075,6,1,1
rANS-1,94759522,29410351,0.310368292064622,2.43,4896,2.56,5764,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,DS_XSC,1,37.18918616,10.95620953,1,2,3
GABAC,94759522,32510029,0.343079284422731,27.44,1795248,33.22,1858248,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,DS_XSC,1,3.293357229,0.933292585,4,4,7
gzip,15727668,3848417,0.244690884878801,11.55,1776,0.33,1572,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,DS_BA,1,1.298621041,11.12162561,5,5,1
bzip2,15727668,3779501,0.240309052810626,2.01,10524,1,6816,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,DS_BA,1,7.462225387,3.604413033,4,3,6
xz,15727668,3483412,0.221483057755288,15.92,208340,0.46,18100,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,DS_BA,1,0.942152828,7.2218273,1,6,4
rANS-0,15727668,3992286,0.253838394859301,0.34,3984,0.4,4364,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,DS_BA,1,44.11492067,9.518351555,6,1,2
rANS-1,15727668,3741190,0.23787315449436,0.42,4048,0.47,5668,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,DS_BA,1,35.71207864,7.591227268,3,2,3
GABAC,15727668,3541941,0.225204461335272,5.39,112708,0.89,122360,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,DS_BA,1,2.782759375,3.795346249,2,4,5
gzip,16207135,6899419,0.425702568652634,11.82,1812,0.34,1548,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,DS_TS,1,1.307641996,19.35234911,5,5,2
bzip2,16207135,5343810,0.329719595721267,1.63,9732,0.83,6816,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,DS_TS,1,9.482410056,6.14006548,1,3,4
xz,16207135,5608628,0.346059189363203,19.35,210612,1.08,18080,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,DS_TS,1,0.798776661,4.952596735,2,6,5
rANS-0,16207135,9313215,0.574636726355398,0.41,4696,0.43,5044,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,DS_TS,1,37.69836193,20.65528825,6,1,1
rANS-1,16207135,6649435,0.41027825090616,0.52,5636,0.52,6168,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,DS_TS,1,29.72370845,12.19499111,4,2,3
GABAC,16207135,6515641,0.40202299789568,3.65,279292,4.75,269156,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,DS_TS,1,4.234610518,1.308168311,3,4,7
gzip,94609041,19196927,0.202907954642517,108.76,1780,2.13,1692,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,DS_FN,1,0.829590038,8.595124992,6,5,1
bzip2,94609041,18561867,0.196195488336046,7.03,10248,4.26,7000,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,DS_FN,1,12.83445413,4.155393386,5,3,2
xz,94609041,16664004,0.176135428748295,143.31,686424,5.75,67908,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,DS_FN,1,0.629587695,2.763831761,3,6,4
rANS-0,94609041,17624905,0.186291973935134,1.84,4412,7.38,4564,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,DS_FN,1,49.03598506,2.277563581,4,1,5
rANS-1,94609041,16088653,0.170054075487352,3.12,4472,5.35,5648,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,DS_FN,1,28.91865785,2.867913112,2,2,3
GABAC,94609041,15117013,0.159784021064118,36.17,1792848,47.27,1807768,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,DS_FN,1,2.494504078,0.304986398,1,4,7
gzip,74938431,4684177,0.062507006585179,27.51,1776,1.58,1648,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,DS_FC,1,2.597850126,2.82732867,5,5,2
bzip2,74938431,3911262,0.052193006282718,2.54,9896,1.94,6740,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,DS_FC,1,28.13655786,1.922716554,2,3,5
xz,74938431,4437548,0.059215918198234,36.17,667732,1.24,67848,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,DS_FC,1,1.975860021,3.412883512,4,6,1
rANS-0,74938431,4935010,0.065854194358566,1.19,3684,1.99,4272,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,DS_FC,1,60.05618232,2.36502125,6,1,4
rANS-1,74938431,4274580,0.057041226283481,1.96,3740,1.71,5496,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,DS_FC,1,36.46268212,2.383951555,3,2,3
GABAC,74938431,3566526,0.047592749840199,3.87,1640172,3.68,1643960,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,DS_FC,1,18.4668881,0.924267458,1,4,7
gzip,143497442,32956213,0.229664114848821,245.54,1788,4.82,1604,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,DS_BF,1,0.557342286,6.520641889,5,6,4
bzip2,143497442,28407540,0.197965480109395,18.32,10280,12.3,7052,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,DS_BF,1,7.469968608,2.202564333,3,3,5
xz,143497442,28837604,0.200962495206012,204.91,691460,3.34,67824,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,DS_BF,1,0.667853325,8.234036611,4,5,2
rANS-0,143497442,42890396,0.298893105007405,3.16,4300,3.22,4768,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,DS_BF,1,43.30690662,12.70294071,6,2,1
rANS-1,143497442,26354500,0.183658326118454,2.92,4208,3.8,5616,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,DS_BF,1,46.86637839,6.614107835,1,1,3
GABAC,143497442,27373774,0.19076140744028,31.69,3223952,45.97,3282660,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,DS_BF,1,4.318391445,0.567884821,2,4,7
gzip,21511323,10198028,0.474077210406817,10.7,1676,0.44,1628,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,DS_NP,1,1.917270678,22.10363041,3,5,2
bzip2,21511323,10394414,0.483206634942909,2.35,9936,1.33,6736,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,DS_NP,1,8.729700535,7.453297493,4,3,4
