codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,540887,53270,0.098486375157843,0.23,1748,0.01,1648,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,EditACGT_U_NVec,1,2.242739304,5.080223083,5,4,2
bzip2,540887,43820,0.081015073388712,0.02,2804,0.02,3920,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,EditACGT_U_NVec,1,25.791502,2.089500427,2,2,5
xz,540887,47560,0.087929641496283,0.35,73724,0.02,2688,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,EditACGT_U_NVec,1,1.473800114,2.267837524,4,5,3
rANS-0,540887,55196,0.102047192851742,0.01,1984,0.01,2212,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,EditACGT_U_NVec,1,51.583004,5.263900757,6,1,1
rANS-1,540887,45315,0.083779051816738,0.02,3132,0.02,2988,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,EditACGT_U_NVec,1,25.791502,2.160787582,3,2,4
GABAC,540887,42782,0.07909600341661,0.06,23136,0.06,23220,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,EditACGT_U_NVec,1,8.597167333,0.680001577,1,3,7
gzip,3799679,3313577,0.872067614132667,0.25,1716,0.1,1608,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,EditACGT_U_SeqVec,1,14.49462509,31.6007328,2,3,1
bzip2,3799679,3403271,0.895673292401805,0.71,9792,0.4,6720,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,EditACGT_U_SeqVec,1,5.103741229,8.114030361,3,4,5
xz,3799679,3257396,0.857281891443988,1.2,102488,0.37,7456,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,EditACGT_U_SeqVec,1,3.019713561,8.395932172,1,5,4
rANS-0,3799679,3622948,0.953487913057919,0.22,4752,0.14,5076,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,EditACGT_U_SeqVec,1,16.47116488,24.67937469,5,2,2
rANS-1,3799679,3645020,0.959296824810727,0.19,5928,0.16,6608,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,EditACGT_U_SeqVec,1,19.07187512,21.72601223,6,1,3
GABAC,3799679,3413162,0.898276407033331,5.3,113356,0.64,119228,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,EditACGT_U_SeqVec,1,0.683708731,5.086007714,4,6,6
gzip,12897850,10737915,0.832535267505825,3.52,1716,0.35,1608,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,EditACGT_SeqVec,1,3.494417126,29.25849642,4,5,1
bzip2,12897850,11190473,0.867623130986947,2.17,9912,1.25,6732,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,EditACGT_SeqVec,1,5.668363264,8.537653351,6,4,5
xz,12897850,10287316,0.797599289804115,5.84,184240,0.96,15996,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,EditACGT_SeqVec,1,2.106224021,10.21953026,1,6,4
rANS-0,12897850,10636759,0.824692409975306,0.41,4832,0.36,5312,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,EditACGT_SeqVec,1,30.00084947,28.17778852,3,1,2
rANS-1,12897850,10865200,0.842403966552565,0.58,5860,0.49,6476,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,EditACGT_SeqVec,1,21.20749704,21.14665752,5,2,3
GABAC,12897850,10620348,0.823420027368903,1.99,254612,1.77,247524,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,EditACGT_SeqVec,1,6.181079539,5.722233401,2,3,6
gzip,3235715,2084018,0.644067230890236,1.78,1720,0.1,1700,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,EditACGT_NVec,1,1.733605781,19.87474442,6,6,1
bzip2,3235715,2073982,0.640965598020839,0.43,9628,0.31,6816,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,EditACGT_NVec,1,7.176321606,6.380333439,5,3,5
xz,3235715,1980404,0.612045251204139,1.58,97224,0.21,5992,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,EditACGT_NVec,1,1.953049551,8.9936211,3,5,4
rANS-0,3235715,2006710,0.620175139034186,0.13,4720,0.12,4696,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,EditACGT_NVec,1,23.73706377,15.94789823,4,1,2
rANS-1,3235715,1864473,0.5762166939919,0.15,5848,0.14,6096,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,EditACGT_NVec,1,20.57212194,12.70071438,1,2,3
GABAC,3235715,1959989,0.605735981073735,0.48,88500,0.47,92320,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,EditACGT_NVec,1,6.428788106,3.977002489,2,4,6
gzip,94778876,1114121,0.011754950544043,5.46,1688,1.37,1624,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedChr,pairedChr,1,16.55461168,0.77555371,5,5,2
bzip2,94778876,891140,0.009402306058156,1.18,9624,1.38,6524,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedChr,pairedChr,1,76.60015236,0.615838645,1,1,4
xz,94778876,1036368,0.010934588420314,9.87,685220,1.17,67840,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedChr,pairedChr,1,9.157870292,0.844750038,4,6,1
rANS-0,94778876,1346087,0.014202394634855,1.26,3948,1.71,4332,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedChr,pairedChr,1,71.73665062,0.750718479,6,2,3
rANS-1,94778876,984338,0.010385626434312,1.56,3692,2.68,5364,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedChr,pairedChr,1,57.94114088,0.350275324,3,3,7
GABAC,94778876,906335,0.009562626592027,1.97,838336,2.43,1097340,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedChr,pairedChr,1,45.88232476,0.355698935,2,4,6
gzip,3161681,339172,0.107275844716782,1.25,1780,0.06,1596,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_NVec,EditACGT_IS_NVec,1,2.412171173,5.390993754,5,5,1
bzip2,3161681,286921,0.090749509517247,0.12,9040,0.1,5964,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_NVec,EditACGT_IS_NVec,1,25.12678305,2.736291885,2,3,5
xz,3161681,301344,0.095311323311871,1.65,98132,0.09,6272,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_NVec,EditACGT_IS_NVec,1,1.827402404,3.193155924,4,6,3
rANS-0,3161681,349281,0.110473194481037,0.09,3040,0.09,3540,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_NVec,EditACGT_IS_NVec,1,33.5023774,3.701114655,6,1,2
