codec,uncompressed_size,compressed_size,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,540887,53270,0.23,1748,0.01,1648,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,1,2.242739304,5.080223083,5,4,2
bzip2,540887,43820,0.02,2804,0.02,3920,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,1,25.791502,2.089500427,2,2,5
xz,540887,47560,0.35,73724,0.02,2688,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,1,1.473800114,2.267837524,4,5,3
rans0,540887,55196,0.01,1984,0.01,2212,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,1,51.583004,5.263900757,6,1,1
rans1,540887,45315,0.02,3132,0.02,2988,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,1,25.791502,2.160787582,3,2,4
gabac,540887,42782,0.06,23136,0.06,23220,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_NVec,1,8.597167333,0.680001577,1,3,7
gzip,3799679,3313577,0.25,1716,0.1,1608,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,1,14.49462509,31.6007328,2,3,1
bzip2,3799679,3403271,0.71,9792,0.4,6720,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,1,5.103741229,8.114030361,3,4,5
xz,3799679,3257396,1.2,102488,0.37,7456,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,1,3.019713561,8.395932172,1,5,4
rans0,3799679,3622948,0.22,4752,0.14,5076,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,1,16.47116488,24.67937469,5,2,2
rans1,3799679,3645020,0.19,5928,0.16,6608,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,1,19.07187512,21.72601223,6,1,3
gabac,3799679,3413162,5.3,113356,0.64,119228,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_U_SeqVec,1,0.683708731,5.086007714,4,6,6
gzip,31928477,400591,1.19,1756,0.5,1616,02_NA12878_S1.chr11.sam.deez_rawstreams.TagX0j,2,25.5877046,0.764066696,4,5,2
bzip2,31928477,302182,0.96,9964,0.48,5976,02_NA12878_S1.chr11.sam.deez_rawstreams.TagX0j,2,31.71809216,0.600381692,1,3,4
xz,31928477,330760,7.42,348860,0.7,33384,02_NA12878_S1.chr11.sam.deez_rawstreams.TagX0j,2,4.103688474,0.450624738,3,6,5
rans0,31928477,984769,0.58,3772,0.67,4488,02_NA12878_S1.chr11.sam.deez_rawstreams.TagX0j,2,52.49891117,1.40171478,6,1,1
rans1,31928477,500255,0.64,3560,0.77,5012,02_NA12878_S1.chr11.sam.deez_rawstreams.TagX0j,2,47.57713825,0.619584864,5,2,3
gabac,31928477,319818,0.99,285792,1.16,305196,02_NA12878_S1.chr11.sam.deez_rawstreams.TagX0j,2,30.75693786,0.262932942,2,4,7
gzip,46004543,2421277,10.47,1760,0.63,1624,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXGj,2,4.190386924,3.665253473,6,5,1
bzip2,46004543,2033654,1.24,9696,1.02,6744,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXGj,2,35.38173476,1.901415283,3,3,4
xz,46004543,2334000,31.13,475464,0.81,47132,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXGj,2,1.409359174,2.747994882,5,6,2
rans0,46004543,2159887,0.78,3616,1.05,4156,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXGj,2,56.24788602,1.961741675,4,1,3
rans1,46004543,1782439,1.1,3772,1.13,5432,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXGj,2,39.88486463,1.504306456,2,2,5
gabac,46004543,1724255,5.32,724544,7.13,726096,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXGj,2,8.246870507,0.23062801,1,4,6
gzip,12897850,10737915,3.52,1716,0.35,1608,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,1,3.494417126,29.25849642,4,5,1
bzip2,12897850,11190473,2.17,9912,1.25,6732,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,1,5.668363264,8.537653351,6,4,5
xz,12897850,10287316,5.84,184240,0.96,15996,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,1,2.106224021,10.21953026,1,6,4
rans0,12897850,10636759,0.41,4832,0.36,5312,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,1,30.00084947,28.17778852,3,1,2
rans1,12897850,10865200,0.58,5860,0.49,6476,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,1,21.20749704,21.14665752,5,2,3
gabac,12897850,10620348,1.99,254612,1.77,247524,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_SeqVec,1,6.181079539,5.722233401,2,3,6
gzip,209715200,26384834,211.01,1744,3.07,1616,02_NA12878_S1.chr11.sam.deez_rawstreams.readNameIndex.cropped,2,0.947822378,8.196266622,4,5,2
bzip2,209715200,21939213,56.09,10700,9.13,7036,02_NA12878_S1.chr11.sam.deez_rawstreams.readNameIndex.cropped,2,3.565697985,2.291660894,3,3,7
xz,209715200,21185800,422.98,691504,4.29,67808,02_NA12878_S1.chr11.sam.deez_rawstreams.readNameIndex.cropped,2,0.472835595,4.709639471,2,6,3
rans0,209715200,82754915,5.57,4260,5.41,4880,02_NA12878_S1.chr11.sam.deez_rawstreams.readNameIndex.cropped,2,35.90664273,14.58802902,6,2,1
rans1,209715200,18326004,4.88,3836,5.65,5580,02_NA12878_S1.chr11.sam.deez_rawstreams.readNameIndex.cropped,2,40.98360656,3.093281299,1,1,6
gabac,209715200,28310719,124.17,687644,7.28,823232,02_NA12878_S1.chr11.sam.deez_rawstreams.readNameIndex.cropped,2,1.610695015,3.708682086,5,4,5
gzip,67465626,48689144,17.14,1852,1.5,1624,02_NA12878_S1.chr11.sam.deez_rawstreams.pairedTlen,2,3.753805995,30.95572408,5,4,1
bzip2,67465626,45027344,13.57,10728,5.56,7052,02_NA12878_S1.chr11.sam.deez_rawstreams.pairedTlen,2,4.741358493,7.72327725,2,3,4
xz,67465626,42982236,57.3,659424,5.86,67796,02_NA12878_S1.chr11.sam.deez_rawstreams.pairedTlen,2,1.122866226,6.995060501,1,5,5
rans0,67465626,55574198,2.94,4704,1.94,4932,02_NA12878_S1.chr11.sam.deez_rawstreams.pairedTlen,2,21.88443359,27.31942541,6,1,2
rans1,67465626,48068282,2.95,5992,2.64,6272,02_NA12878_S1.chr11.sam.deez_rawstreams.pairedTlen,2,21.81024907,17.36419923,4,2,3
gabac,67465626,46206328,326.33,1351624,23,1640640,02_NA12878_S1.chr11.sam.deez_rawstreams.pairedTlen,2,0.197163101,1.915903838,3,6,6
gzip,46004543,6340310,120.62,1772,0.68,1552,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXTA,2,0.363731977,8.892045302,6,6,1
bzip2,46004543,6245533,4.46,9796,2.23,6840,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXTA,2,9.837074237,2.670943684,5,4,5
xz,46004543,5464112,101.04,473796,0.98,48316,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXTA,2,0.434217647,5.317329874,3,5,2
rans0,46004543,5713862,0.9,3948,1.06,4216,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXTA,2,48.74816789,5.140720223,4,1,3
rans1,46004543,5010683,1.22,3704,1.08,5540,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXTA,2,35.96176319,4.424592301,2,2,4
gabac,46004543,5008656,4.36,889988,3.12,895540,02_NA12878_S1.chr11.sam.deez_rawstreams.TagXTA,2,10.06269521,1.53097006,1,3,6
gzip,3235715,2084018,1.78,1720,0.1,1700,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,1,1.733605781,19.87474442,6,6,1
bzip2,3235715,2073982,0.43,9628,0.31,6816,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,1,7.176321606,6.380333439,5,3,5
xz,3235715,1980404,1.58,97224,0.21,5992,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_NVec,1,1.953049551,8.9936211,3,5,4
