codec,uncompressed_size,compressed_size,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,155241666,39502232,113.8,1888,2.79,1620,07_chr2_m.gtl_filtered.snpt.codec_stats,07,1.3009665175774814,13.502603619756664,5,5,1
bzip2,155241666,38542969,26.59,9944,8.79,6960,07_chr2_m.gtl_filtered.snpt.codec_stats,07,5.567882275303399,4.181733744407541,4,4,5
xz,155241666,34847596,252.46,691340,4.97,67764,07_chr2_m.gtl_filtered.snpt.codec_stats,07,0.5864294925941431,6.6867720912879625,2,6,4
rans0,155241666,47188688,3.85,4132,4.11,4656,07_chr2_m.gtl_filtered.snpt.codec_stats,07,38.45454277930322,10.949547389417958,6,1,2
rans1,155241666,38421521,4.75,4148,4.63,5668,07_chr2_m.gtl_filtered.snpt.codec_stats,07,31.168418884277344,7.913956322886259,3,2,3
gabac,155241666,31180842,16.98,3316764,13.42,3380484,07_chr2_m.gtl_filtered.snpt.codec_stats,07,8.719080665507501,2.2158247525574732,1,3,6
gzip,3169346,577862,2.12,1728,0.05,1620,09_sample-2-10_sorted.bam_filtered.snpp.codec_stats,09,1.4257188113230579,11.021842956542969,4,5,2
bzip2,3169346,449611,1.46,9992,0.13,6232,09_sample-2-10_sorted.bam_filtered.snpp.codec_stats,09,2.070221835619783,3.2983266390286956,2,4,5
xz,3169346,447844,2.25,97168,0.11,6548,09_sample-2-10_sorted.bam_filtered.snpp.codec_stats,09,1.3433439466688368,3.8827029141512783,1,6,4
rans0,3169346,1499613,0.09,4420,0.08,4692,09_sample-2-10_sorted.bam_filtered.snpp.codec_stats,09,33.583598666720924,17.876780033111572,6,2,1
rans1,3169346,760174,0.07,4524,0.08,5400,09_sample-2-10_sorted.bam_filtered.snpp.codec_stats,09,43.17891257149832,9.061980247497559,5,1,3
gabac,3169346,471073,0.24,50360,0.21,59872,09_sample-2-10_sorted.bam_filtered.snpp.codec_stats,09,12.593849500020346,2.139286767868769,3,3,6
gzip,202553675,49540232,151.72,1764,3.75,1624,02_NA12878_S1.unmapped.bam_filtered.subtype.codec_stats,02,1.2732021983996753,12.598732503255208,4,5,1
bzip2,202553675,46312287,29.88,9872,12.37,6964,02_NA12878_S1.unmapped.bam_filtered.subtype.codec_stats,02,6.464867387590319,3.5704800845541684,2,4,5
xz,202553675,44539444,334.77,691432,5.93,67832,02_NA12878_S1.unmapped.bam_filtered.subtype.codec_stats,02,0.5770237403028907,7.162921384454377,1,6,4
rans0,202553675,51798622,4.31,4124,4.68,4584,02_NA12878_S1.unmapped.bam_filtered.subtype.codec_stats,02,44.81908063600899,10.555345176631569,6,1,2
rans1,202553675,50043414,4.77,4116,4.93,5764,02_NA12878_S1.unmapped.bam_filtered.subtype.codec_stats,02,40.4969051449054,9.680551447684577,5,2,3
gabac,202553675,49381457,14.81,3686488,14.81,3734708,02_NA12878_S1.unmapped.bam_filtered.subtype.codec_stats,02,13.043230083808151,3.179866795923,3,3,7
gzip,328305,49764,1.39,1752,0.01,1556,07_chr1_N.gtl_filtered.nrcomp.codec_stats,07,0.22524895427895966,4.7458648681640625,5,5,2
bzip2,328305,51588,0.04,4176,0.04,2776,07_chr1_N.gtl_filtered.nrcomp.codec_stats,07,7.827401161193848,1.2299537658691406,6,3,5
xz,328305,45620,0.41,71448,0.01,2452,07_chr1_N.gtl_filtered.nrcomp.codec_stats,07,0.7636488937750096,4.3506622314453125,4,4,3
