codec,uncompressed_size,compressed_size,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,209715200,85880216,94.98,1808,3.88,1692,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,2.10570646451884,21.1087000738714,5,5,1
bzip2,209715200,76378063,21.72,9940,14.76,6976,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,9.20810313075506,4.93494559755816,3,4,7
xz,209715200,74822852,278.82,691416,8.85,67876,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,0.717308657915501,8.06289629747638,2,6,4
rans0,209715200,100167070,4.72,4608,4.78,4828,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,42.3728813559322,19.984678244491,6,1,2
rans1,209715200,71842283,5.43,4496,5.95,5764,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,36.8324125230202,11.5149815343007,1,2,3
gabac,209715200,78434581,15.69,1004980,11.34,1022828,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,12.7469725940089,6.59621211797051,4,3,6
gzip,209715200,45085215,39.75,1772,3.19,1536,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,5.0314465408805,13.4785616285748,3,4,2
bzip2,209715200,41585791,22.22,10004,9.14,6936,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,9.000900090009,4.33909199170002,2,3,5
xz,209715200,37221880,223.94,691428,5.57,67828,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,0.893096365097794,6.37298940114101,1,5,4
rans0,209715200,95138513,4.35,4460,4.43,4776,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,45.9770114942528,20.4810736679869,6,1,1
