codec,uncompressed_size,compressed_size,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,209715200,85880216,94.98,1808,3.88,1692,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,2.105706465,21.10870007,5,5,1
bzip2,209715200,76378063,21.72,9940,14.76,6976,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,9.208103131,4.934945598,3,4,7
xz,209715200,74822852,278.82,691416,8.85,67876,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,0.717308658,8.062896297,2,6,4
rANS-0,209715200,100167070,4.72,4608,4.78,4828,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,42.37288136,19.98467824,6,1,2
rANS-1,209715200,71842283,5.43,4496,5.95,5764,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,36.83241252,11.51498153,1,2,3
GABAC,209715200,78434581,15.69,1004980,11.34,1022828,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,2,12.74697259,6.596212118,4,3,6
gzip,209715200,45085215,39.75,1772,3.19,1536,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,5.031446541,13.47856163,3,4,2
bzip2,209715200,41585791,22.22,10004,9.14,6936,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,9.00090009,4.339091992,2,3,5
xz,209715200,37221880,223.94,691428,5.57,67828,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,0.893096365,6.372989401,1,5,4
rANS-0,209715200,95138513,4.35,4460,4.43,4776,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,45.97701149,20.48107367,6,1,1
rANS-1,209715200,64272089,5.15,4348,6.05,5712,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,38.83495146,10.13134554,5,2,3
GABAC,209715200,47478327,382.51,2057968,12.97,2517268,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,0.522862147,3.49104557,4,6,7
gzip,5382090,354135,2.99,1748,0.07,1620,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,1.716642475,4.824706486,4,6,2
bzip2,5382090,318181,0.18,9076,0.13,6144,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,28.5153389,2.334161905,2,3,3
xz,5382090,333268,2.84,118460,0.18,7556,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,1.807310212,1.7657174,3,5,5
rANS-0,5382090,782245,0.14,3620,0.13,4000,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,36.66257858,5.73851512,6,2,1
rANS-1,5382090,398737,0.13,3044,0.19,4896,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,39.48277694,2.001395978,5,1,4
GABAC,5382090,294934,0.32,121264,0.37,114908,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,16.03987813,0.76019184,1,4,7
gzip,94759522,35286214,50.81,1668,1.7,1680,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,1.778581428,19.79503295,5,5,2
