codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,209715200,85880216,0.409508781433105,94.98,1808,3.88,1692,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,2,2.105706465,21.10870007,5,5,1
bzip2,209715200,76378063,0.364198985099792,21.72,9940,14.76,6976,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,2,9.208103131,4.934945598,3,4,7
xz,209715200,74822852,0.35678316116333,278.82,691416,8.85,67876,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,2,0.717308658,8.062896297,2,6,4
rANS-0,209715200,100167070,0.477633810043335,4.72,4608,4.78,4828,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,2,42.37288136,19.98467824,6,1,2
rANS-1,209715200,71842283,0.342570700645447,5.43,4496,5.95,5764,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,2,36.83241252,11.51498153,1,2,3
GABAC,209715200,78434581,0.374005227088928,15.69,1004980,11.34,1022828,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,2,12.74697259,6.596212118,4,3,6
gzip,35897993,767392,0.021377016815397,2.75,1776,0.52,1596,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,DS_NS,2,12.4490887,1.40738854,5,5,2
bzip2,35897993,521488,0.014526940266549,0.37,9344,0.55,6212,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,DS_NS,2,92.52701063,0.90423584,2,1,3
xz,35897993,858068,0.023902951900403,5.43,387240,0.5,38424,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,DS_NS,2,6.304787097,1.636634827,6,6,1
rANS-0,35897993,529172,0.014740991230345,0.49,3020,0.63,3608,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,DS_NS,2,69.86733456,0.80104404,3,2,4
rANS-1,35897993,496846,0.013840495205401,0.65,3176,0.77,4904,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,DS_NS,2,52.66922144,0.615362688,1,3,5
GABAC,35897993,553206,0.015410499411485,1.88,810900,1.74,812196,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,DS_NS,2,18.21010316,0.303205951,4,4,6
gzip,21816746,3606248,0.165297244602839,57.19,1768,0.32,1644,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,DS_MQC,2,0.363806091,10.74745655,6,6,1
bzip2,21816746,3564954,0.163404478376381,1.86,9932,0.98,6824,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,DS_MQC,2,11.18605932,3.469188846,5,4,5
xz,21816746,3141680,0.14400314327352,31.68,262904,0.5,23852,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,DS_MQC,2,0.65675727,5.992279053,4,5,3
rANS-0,21816746,3111285,0.142609947422957,0.43,3936,0.47,4288,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,DS_MQC,2,48.38621006,6.313090629,3,1,2
rANS-1,21816746,2897928,0.132830441349961,0.49,4172,0.54,5568,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,DS_MQC,2,42.46136802,5.117925008,2,2,4
GABAC,21816746,2838891,0.130124400769941,1.48,471664,1.58,441384,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,DS_MQC,2,14.05815563,1.713530021,1,3,7
gzip,209715200,36382851,0.173486952781677,36.51,1756,3.13,1576,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,2,5.477951246,11.08542829,3,4,2
bzip2,209715200,26580598,0.126746168136597,33.34,9792,8.49,6952,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,2,5.99880024,2.985775457,2,3,7
xz,209715200,24198660,0.115388202667236,189.45,691344,4.74,67764,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,2,1.055687516,4.868700534,1,6,4
rANS-0,209715200,107691395,0.513512587547302,4.56,4516,4.73,4912,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,2,43.85964912,21.71300582,6,1,1
rANS-1,209715200,58945050,0.281071901321411,5.06,4248,5.44,5708,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,2,39.5256917,10.33352578,5,2,3
GABAC,209715200,37745653,0.179985299110413,129.16,898156,7.96,922308,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,DS_RN,2,1.548467018,4.522243696,4,5,6
gzip,46004543,7556928,0.164264820541745,134.62,1748,0.67,1640,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,DS_SMC,2,0.325905149,10.75648977,5,6,1
bzip2,46004543,7668546,0.166691059185177,4.21,10360,2.17,6824,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,DS_SMC,2,10.42122354,3.370182196,6,4,5
xz,46004543,6627128,0.144053773124102,70.19,473800,0.96,47052,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,DS_SMC,2,0.625065552,6.583460172,3,5,3
rANS-0,46004543,7024541,0.152692333015894,0.76,3988,0.93,4628,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,DS_SMC,2,57.72809355,7.203359501,4,1,2
rANS-1,46004543,6131304,0.133276054932227,0.97,3964,1.01,5668,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,DS_SMC,2,45.23025886,5.789373417,2,2,4
GABAC,46004543,6096123,0.132511326109684,3.04,891272,2.73,895860,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,DS_SMC,2,14.43202339,2.129566276,1,3,6
gzip,21504107,4655232,0.216481065686662,27.9,1780,0.41,1688,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,DS_BS,2,0.7350507,10.82823218,6,6,1
bzip2,21504107,4542312,0.211229975743703,2.32,9780,1.22,6780,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,DS_BS,2,8.839618338,3.550726468,5,4,4
